Id,PositionX,PositionY,IsWorkStation,CanLeftLoad,CanLeftUnload,CanRightLoad,CanRightUnload,IsCharger,CouplerId,ChargeDirection,IsSegmentPoint,CanSpin,PioDirection,IsTR50,InsideSectionId,OffsetX,OffsetY,OffsetTheta,VehicleHeadAngle,,,,
12039,25047,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,12,039,,
12040,24567,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,12,040,,
13041,24057,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,13,041,,
13042,23547,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,13,042,,
12043,22947,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,12,043,,
12044,22467,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,12,044,,
13045,21957,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,13,045,,
13046,21447,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,13,046,,
12047,20847,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,12,047,,
10048,20607,3742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,10,048,,
10049,18947,5432,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,10,049,,
10050,18947,6482,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,10,050,,
10051,21900,870,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0,10,051,,
